Eclust,W1Cclust,W2Cclust,Xclust,Yclust,ERclust,ptisoR4,ptisoR4HCAL,totalptR4,y
627.66644,0.60723627,0.5592465,1.6969104,-5.706669,0.18451941,0.0,0.09287063,0.09287063,1
98.85101,0.71530634,0.5702642,33.45277,-30.426928,0.13463861,0.20637904,0.0910069,0.29738594,1
78.12504,0.7338433,0.50775623,-22.975212,-15.173214,0.16971858,5.2602234,7.227547,12.4877704,1
175.44565,0.9467217,0.593038,15.745561,20.330788,0.18215896,27.370188,14.409347,41.779534999999996,1
78.27051,0.9593034,0.49532053,-10.0182,36.400078,0.31552958,16.142733,1.1282574,17.2709904,0
55.13957,0.9984937,0.60174274,6.84014,41.93269,0.7070546,1.6125438,9.995968,11.608511799999999,0
88.6894,0.9674059,0.6796681,-3.5272267,20.750843,0.0,0.5718129,5.8355336,6.4073465,0
180.92041,0.45512503,0.23950188,-15.092225,17.69759,0.0,9.097548,0.6692106,9.7667586,0
101.84113,1.0641801,0.62107503,1.3039836,-16.421139,0.0,0.22806644,1.2012922,1.42935864,1
474.91925,0.6303914,0.5803903,-4.26519,7.4381614,0.16981395,0.47718698,0.36831057,0.8454975499999999,0
270.71002,0.8424113,0.5202005,8.347908,-6.5390444,0.22184727,7.94228,0.29357815,8.23585815,0
63.29232,0.6662983,0.5232361,-20.197903,21.123283,0.23112558,0.0,0.21577166,0.21577166,0
67.801735,0.9829847,0.64332587,22.816307,1.0489888,0.18702497,2.856863,8.536111,11.392974,1
32.928696,1.1543975,0.7195063,-41.51237,-20.96397,0.05919209,1.5866007,3.4601486,5.0467493,1
137.90077,0.73319805,0.56371355,32.749,18.278921,0.24734947,4.3418307,1.4570415,5.7988722,1
113.933304,0.7773603,0.6270659,-10.145953,-16.169872,0.070178084,3.6331773,7.2976265,10.9308038,1
128.67293,0.7176776,0.5669763,2.7421231,-39.08624,0.0819494,0.8850085,10.854447,11.7394555,0
115.593376,1.2601303,0.70600164,11.246767,-18.36672,0.31963724,29.835012,6.838886,36.673898,0
223.15388,0.6288529,0.5658414,5.6413403,-11.476165,0.14012417,0.8499805,0.10376404,0.95374454,1
188.98326,0.99295706,0.5967867,-9.127078,1.8070422,0.14541794,0.22417614,0.45923036,0.6834065,1
61.39019,1.2925925,0.58964705,-19.390799,-17.733028,0.1327836,0.07317816,2.7244396,2.79761776,1
41.968464,0.7103219,0.5449091,-36.421143,8.03324,0.0659325,0.69889003,0.4225344,1.12142443,1
59.68078,0.6820733,0.55843824,-29.306839,-8.401499,0.08964255,2.2032478,0.06063399,2.26388179,1
299.54987,0.6120298,0.5188816,3.5555463,-8.230643,2.0276976,0.0,1.3647777,1.3647777,1
68.67998,0.94809824,0.66161793,-15.010366,22.086744,0.0,1.7964562,40.789295,42.585751200000004,1
57.169716,0.93796337,0.65507007,19.465906,-16.910486,0.10489239,0.2209929,1.6202551,1.841248,0
136.95872,1.0750636,0.6320384,-9.541056,8.4340105,0.8820067,2.6646194,6.9948244,9.6594438,1
57.90492,0.66694236,0.5733021,26.97639,-14.756109,0.4722754,70.30034,26.514725,96.815065,0
151.41556,0.6241854,0.4617369,-9.942388,6.047501,1.3254434,15.935222,5.675666,21.610888,0
146.19736,0.9228749,0.5582678,-8.362509,16.323402,0.16946207,1.2083651,5.8993616,7.1077267,1
103.5557,0.7034643,0.5923691,35.16063,-3.171138,0.1508163,15.287116,2.7451177,18.0322337,0
114.066895,0.9109453,0.48201913,7.6785717,-34.84582,0.21879162,9.00239,1.0070276,10.0094176,1
543.64545,0.70667875,0.6079374,1.6546814,-8.310486,0.27728602,5.158002,4.939163,10.097165,0
48.873726,0.8021101,0.5523824,13.942885,30.582285,0.14630835,19.811375,0.5611992,20.372574200000003,0
86.54449,0.8165176,0.63767695,-9.457215,21.22663,0.1859052,5.8789663,10.545088,16.4240543,0
324.84113,0.6381318,0.5765968,-11.447112,-2.3324137,0.13836569,0.0,0.09431322,0.09431322,1
550.9508,0.84504366,0.58232653,7.619763,1.0156399,0.23809811,8.277886,4.7455707,13.0234567,0
51.87219,0.781603,0.6621905,36.806473,-6.651346,0.08367539,0.30705357,4.2953863,4.6024398699999995,0
